,REGION,YEAR,WEEK,TOTAL CASES
319,Wisconsin,2010,45,1.0
320,Wyoming,2010,45,0.0
321,Puerto Rico,2010,45,0.0
322,Virgin Islands,2010,45,0.0
323,New York City,2010,45,0.0
324,Alabama,2010,46,17.0
325,Alaska,2010,46,0.0
326,Arizona,2010,46,1.0
327,Arkansas,2010,46,1.0
328,California,2010,46,13.0
329,Colorado,2010,46,3.0
330,Connecticut,2010,46,3.0
331,Delaware,2010,46,1.0
332,District of Columbia,2010,46,1.0
333,Florida,2010,46,0.0
334,Georgia,2010,46,119.0
335,Hawaii,2010,46,8.0
336,Idaho,2010,46,0.0
337,Illinois,2010,46,3.0
338,Indiana,2010,46,0.0
339,Iowa,2010,46,0.0
340,Kansas,2010,46,0.0
341,Kentucky,2010,46,4.0
342,Louisiana,2010,46,9.0
343,Maine,2010,46,0.0
344,Maryland,2010,46,6.0
345,Massachusetts,2010,46,1.0
346,Michigan,2010,46,0.0
347,Minnesota,2010,46,10.0
348,Mississippi,2010,46,4.0
349,Missouri,2010,46,0.0
350,Montana,2010,46,0.0
351,Nebraska,2010,46,2.0
352,Nevada,2010,46,3.0
353,New Hampshire,2010,46,0.0
354,New Jersey,2010,46,0.0
355,New Mexico,2010,46,1.0
356,New York,2010,46,26.0
357,North Carolina,2010,46,2.0
358,North Dakota,2010,46,0.0
359,Ohio,2010,46,6.0
360,Oklahoma,2010,46,4.0
361,Oregon,2010,46,0.0
362,Pennsylvania,2010,46,12.0
363,Rhode Island,2010,46,0.0
364,South Carolina,2010,46,2.0
365,South Dakota,2010,46,0.0
366,Tennessee,2010,46,0.0
367,Texas,2010,46,16.0
368,Utah,2010,46,40.0
369,Vermont,2010,46,0.0
370,Virginia,2010,46,1.0
371,Washington,2010,46,5.0
372,West Virginia,2010,46,5.0
373,Wisconsin,2010,46,2.0
374,Wyoming,2010,46,0.0
375,Puerto Rico,2010,46,0.0
376,Virgin Islands,2010,46,0.0
377,New York City,2010,46,0.0
378,Alabama,2010,47,17.0
379,Alaska,2010,47,0.0
380,Arizona,2010,47,9.0
381,Arkansas,2010,47,2.0
382,California,2010,47,6.0
383,Colorado,2010,47,11.0
384,Connecticut,2010,47,2.0
385,Delaware,2010,47,0.0
386,District of Columbia,2010,47,0.0
387,Florida,2010,47,0.0
388,Georgia,2010,47,162.0
389,Hawaii,2010,47,12.0
390,Idaho,2010,47,0.0
391,Illinois,2010,47,5.0
392,Indiana,2010,47,0.0
393,Iowa,2010,47,1.0
394,Kansas,2010,47,0.0
395,Kentucky,2010,47,4.0
396,Louisiana,2010,47,9.0
397,Maine,2010,47,0.0
398,Maryland,2010,47,1.0
399,Massachusetts,2010,47,0.0
400,Michigan,2010,47,0.0
401,Minnesota,2010,47,16.0
402,Mississippi,2010,47,0.0
403,Missouri,2010,47,1.0
404,Montana,2010,47,2.0
405,Nebraska,2010,47,0.0
406,Nevada,2010,47,0.0
407,New Hampshire,2010,47,2.0
408,New Jersey,2010,47,0.0
409,New Mexico,2010,47,0.0
410,New York,2010,47,28.0
411,North Carolina,2010,47,4.0
